kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
GEDIMINAS    VASILIAUSKAS,4399.00,0.0,55000.0,0.0,6081.0,6636.0,38630.04
MARTYNAS    POŽAITIS,573.00,0.0,22419.0,0.0,0.0,0.0,9457.55
ELIGIJUS    DZEŽULSKIS-DUONYS,2388.00,236000.0,521500.0,0.0,20000.0,20000.0,37530.35
BOŽENA    GRUODIENĖ,3740.00,0.0,100.0,0.0,150000.0,0.0,30033.89
GINTAUTAS    ŠIVICKAS,3887.00,1316000.0,952364.0,555200.0,31000.0,232200.0,84636.99
SIMAS    BRUSOKAS,3442.00,116739.0,293562.0,0.0,0.0,0.0,31797.97
NERIJUS    DUNAUSKAS,13310.00,925000.0,1080000.0,0.0,210000.0,0.0,103627.68
MINDAUGAS    CESIULIS,0.00,0.0,0.0,0.0,1000.0,0.0,17.00
SIMONA    STANČIKAITĖ,574.00,0.0,3000.0,0.0,0.0,0.0,10548.50
ARTŪRAS    JACEVIČIUS,6547.00,0.0,64525.0,0.0,66750.0,0.0,44249.43
AURIMAS    MILKAUSKAS,8638.00,4000.0,29000.0,0.0,40000.0,0.0,57589.70
DAINIUS    JUKNEVIČIUS,4558.00,185000.0,13000.0,0.0,0.0,30000.0,36335.47
ARMANDAS    KALYTIS,10.00,0.0,3000.0,0.0,0.0,6422.0,5491.37
DAIVIS    SUTKEVIČIUS,0.00,0.0,0.0,0.0,0.0,0.0,2496.46
VIDUTIS    BAREIKIS,4560.00,0.0,402000.0,0.0,0.0,0.0,31633.09
RITA    GLAZER,6476.00,104278.0,100000.0,0.0,30000.0,0.0,46809.96
LEONAS KĘSTUTIS    DUNAUSKAS,674.00,0.0,0.0,0.0,200000.0,0.0,4492.00
INGA    LEBEDNYKIENĖ,6185.00,9520.0,1200.0,0.0,0.0,0.0,43033.38
NIJOLĖ    DIRSIENĖ,6824.00,348117.0,1060590.0,0.0,0.0,0.0,60653.52
GITANA    GIMBUTIENĖ,6566.00,117534.0,0.0,0.0,0.0,0.0,59555.77
DARIUS    NIŪKLYS,1606.00,0.0,0.0,0.0,0.0,0.0,16165.20
LAIMONAS    BANKAUSKAS,5427.00,23169.0,55100.0,0.0,73250.0,0.0,38149.08
MEČISLOVAS    SUBELIS,12830.00,180000.0,2380000.0,199000.0,65000.0,280000.0,91245.76
NOMEDA    GUDELIENĖ,3834.00,0.0,310000.0,0.0,2000.0,0.0,29099.10
VAJONĖ    STRIMAITIENĖ,9603.00,0.0,125922.0,0.0,57231.0,0.0,64024.17
TADAS    LABUTIS,12198.00,2400.0,20000.0,230000.0,215000.0,20000.0,85017.19
GEDIMINAS    KONTAUTAS,660.00,25000.0,172000.0,0.0,5000.0,0.0,12873.30
JEVGENIJ    GALIAUTDINOV,7211.00,0.0,242000.0,0.0,0.0,0.0,48796.65
ANTANAS ALGIS    JANICKAS,0.00,0.0,197000.0,0.0,20000.0,0.0,0.00
MANTAS    PAULAUSKAS,6144.00,0.0,156000.0,0.0,0.0,0.0,42758.80
MARIUS    TRINKŪNAS,0.00,21291.0,110000.0,0.0,20000.0,10000.0,4800.00
RIČARDAS    JOVAIŠA,234.00,0.0,68100.0,0.0,1980.0,0.0,7200.00
ALDONA    KRASAUSKIENĖ,203.00,0.0,70000.0,0.0,0.0,0.0,8795.42
STASĖ    ŠIBAKOVSKIENĖ,0.00,0.0,297900.0,0.0,10358.0,0.0,0.00
VIRGINIJA    NAŠLĖNIENĖ,55.00,45549.0,423071.0,0.0,52500.0,29855.0,1106.49
VILMA    VENSLOVAITIENĖ,748.00,127000.0,1000000.0,377000.0,22000.0,7000.0,11842.11
LORETA    KLIUKIENĖ,2475.00,0.0,160000.0,0.0,120000.0,50000.0,22657.25
ARTURAS    NEMURA,0.00,0.0,260000.0,0.0,20000.0,0.0,0.00
IRENA    SKAMBINIENĖ,5042.00,0.0,286713.0,0.0,0.0,0.0,34308.95
SAULIUS    ANILIONIS,2940.00,79230.0,200000.0,0.0,20500.0,3500.0,30385.95
VITALIJA    ŠIMKIENĖ,3332.00,305945.0,690000.0,0.0,1636.0,10000.0,32456.29
VIRGINIJUS    ŠMIGELSKAS,5784.00,251300.0,521501.0,0.0,60000.0,3000.0,39758.64
KĘSTUTIS    VAIŠVILA,6297.00,0.0,0.0,0.0,0.0,0.0,41981.75
ERIKA UNĖ    DOMARKIENĖ,150.00,0.0,0.0,0.0,0.0,0.0,2534.16
MARIUS    KLIPČIUS,0.00,0.0,0.0,0.0,0.0,0.0,3271.47
EDMUNDAS    BERNOTAS,0.00,0.0,0.0,0.0,0.0,0.0,1336.90
JONAS    PŪKAS,0.00,0.0,93000.0,0.0,0.0,0.0,0.00
SVAJŪNAS    JUODKA,46222.00,915186.0,915186.0,0.0,14894.0,0.0,366728.53
SAULIUS    PAUKŠTYS,25.00,38000.0,0.0,0.0,0.0,0.0,11979.30
ALEKSANDRAS VYTAUTAS    JAKELEVIČIUS,0.00,0.0,785000.0,0.0,0.0,0.0,0.00
VASILIJ    FIODOROV,6840.00,0.0,195700.0,0.0,55000.0,0.0,45600.07
RIMAS    STANKŪNAS,4447.00,24000.0,359300.0,0.0,60000.0,0.0,32618.95
EGIDIJUS ANTANAS    JOVAIŠA,2433.00,14067.0,143500.0,0.0,100319.0,0.0,22922.89
DARIUS    GIMŽAUSKAS,738.00,80930.0,245000.0,106000.0,121803.0,0.0,18416.43
